,,,,,,,,,,,,,,,,,,,
,틱톡 대중소 카테고리,,,,,,,,,,틱톡 소카테고리 세부 키워드,,,,,,,,
,스포츠 및 아웃도어,익스트림 스포츠,BMX·서핑,Sports & Outdoor,Extreme Sports,"BMX, Surfing",运动与户外,极限运动,BMX，自由冲浪,,재능,공예,종이접기,건축/집,종이 집 만들기,Paper House,纸房子,,
,스포츠 및 아웃도어,등산,등산 팁,Sports & Outdoor,Hiking,Hiking Tips,运动与户外,徒步,徒步攻略,,재능,공예,종이접기,건축/집,모듈러 미니하우스,Modular Mini House,模块迷你房,,
,스포츠 및 아웃도어,낚시,바다낚시,Sports & Outdoor,Fishing,Sea Fishing,运动与户外,钓鱼,海钓,,재능,공예,종이접기,건축/집,지붕 열리는 종이 집,House with Opening Roof,可开合屋顶纸房,,
,스포츠 및 아웃도어,여행,여행 브이로그,Sports & Outdoor,Travel,Travel Vlog,运动与户外,旅行,旅行视频,,재능,공예,종이접기,건축/집,종이 성/캐슬,Paper Castle,纸城堡,,
,라이프스타일,일상,브이로그,Lifestyle,Daily Life,Vlog,生活方式,日常,日常视频,,재능,공예,종이접기,건축/집,종이 탑/파고다,Paper Pagoda,纸塔/宝塔,,
,라이프스타일,직장,직장인 일상,Lifestyle,Work Life,Office Routine,生活方式,职场,打工日常,,재능,공예,종이접기,건축/집,종이 마을 디오라마,Paper Village Diorama,纸村落场景,,
,라이프스타일,공부,공부 루틴,Lifestyle,Study,Study Routine,生活方式,学习,学习计划,,재능,공예,종이접기,건축/집,종이 다리(트러스),Paper Truss Bridge,纸桁架桥,,
,라이프스타일,취미,DIY 공예,Lifestyle,Hobby,DIY Crafts,生活方式,爱好,手工制作,,재능,공예,종이접기,건축/집,종이 풍차/방앗간,Paper Windmill,纸风车,,
,라이프스타일,요리,레시피,Lifestyle,Cooking,Recipe,生活方式,烹饪,菜谱,,재능,공예,종이접기,건축/집,종이 텐트,Paper Tent,纸帐篷,,
,차량 및 교통,자동차,슈퍼카 리뷰,Vehicles & Transport,Cars,Supercar Review,车辆与交通,汽车,超跑评测,,재능,공예,종이접기,건축/집,종이 가구 세트,Paper Furniture Set,纸家具套装,,
,차량 및 교통,오토바이,라이딩 브이로그,Vehicles & Transport,Motorcycles,Riding Vlog,车辆与交通,摩托车,骑行视频,,,,,,,,,,
,차량 및 교통,대중교통,지하철 리뷰,Vehicles & Transport,Public Transport,Subway Tour,车辆与交通,公共交通,地铁体验,,재능,공예,종이접기,탈것,스포츠카 종이접기,Origami Sports Car,折纸跑车,,
,차량 및 교통,튜닝,드리프트 영상,Vehicles & Transport,Tuning,Drift Video,车辆与交通,改装,漂移视频,,재능,공예,종이접기,탈것,클래식카 종이접기,Origami Classic Car,折纸老爷车,,
,재능,아트,드로잉,Talents,Art,Drawing,才艺,艺术,绘画,,재능,공예,종이접기,탈것,버스/트럭 종이접기,Origami Bus/Truck,折纸公交/卡车,,
,재능,마술,마술 시연,Talents,Magic,Magic Performance,才艺,魔术,魔术表演,,재능,공예,종이접기,탈것,기차/기관차 Origami Train/Loco,折纸火车/机车,,,
,재능,코딩,코딩 튜토리얼,Talents,Coding,Coding Tutorial,才艺,编程,编程教学,,재능,공예,종이접기,탈것,지하철 칸,Paper Subway Car,纸地铁车厢,,
,재능,공예,종이접기,Talents,Crafts,Origami,才艺,手工,折纸,,재능,공예,종이접기,탈것,제트기/여객기,Origami Jet/Airliner,折纸喷气机/客机,,
,재능,손기술,목공 DIY,Talents,Handy Skills,Woodcraft,才艺,手艺,木工制作,,재능,공예,종이접기,탈것,헬리콥터,Origami Helicopter,折纸直升机,,
,자연,풍경,힐링 영상,Nature,Scenery,Relaxing Video,自然,风景,放松视频,,재능,공예,종이접기,탈것,배/요트,Paper Boat/Yacht,纸船/游艇,,
,자연,동물,반려동물,Nature,Animals,Pets,自然,动物,宠物,,재능,공예,종이접기,탈것,로켓/우주선,Paper Rocket/Spaceship,纸火箭/飞船,,
,자연,야생동물,다큐멘터리,Nature,Wildlife,Documentary,自然,野生动物,野生纪录片,,재능,공예,종이접기,탈것,자전거/오토바이,Paper Bicycle/Motorbike,纸自行车/摩托,,
,자연,자연현상,폭풍·번개,Nature,Natural Phenomena,Storm & Lightning,自然,自然现象,暴风、闪电,,,,,,,,,,
,문화·교육 및 기술,역사,인물 소개,"Culture, Education & Tech",History,Historical Figures,文化·教育·科技,历史,历史人物,,재능,공예,종이접기,동물/자연,고래/상어,Whale/Shark,鲸鱼/鲨鱼,,
,문화·교육 및 기술,교육,공부 팁,"Culture, Education & Tech",Education,Study Tips,文化·教育·科技,教育,学习技巧,,재능,공예,종이접기,동물/자연,거북/펭귄,Turtle/Penguin,乌龟/企鹅,,
,문화·교육 및 기술,과학,실험,"Culture, Education & Tech",Science,Experiment,文化·教育·科技,科学,科学实验,,재능,공예,종이접기,동물/자연,여우/고양이,Fox/Cat,狐狸/猫,,
,문화·교육 및 기술,기술,최신 기술 리뷰,"Culture, Education & Tech",Technology,Tech Review,文化·教育·科技,技术,科技测评,,재능,공예,종이접기,동물/자연,개/토끼,Dog/Rabbit,狗/兔子,,
,문화·교육 및 기술,전통문화,공예·예절,"Culture, Education & Tech",Traditional Culture,Craft & Etiquette,文化·教育·科技,传统文化,传统手工,,재능,공예,종이접기,동물/자연,코끼리/기린,Elephant/Giraffe,大象/长颈鹿,,
,가족 및 연애,가족,가족 브이로그,Family & Relationships,Family,Family Vlog,家庭与恋爱,家庭,家庭视频,,재능,공예,종이접기,동물/자연,공룡,Dinosaur,恐龙,,
,가족 및 연애,육아,육아 팁,Family & Relationships,Parenting,Parenting Tips,家庭与恋爱,育儿,育儿经验,,재능,공예,종이접기,동물/자연,나비/매미,Butterfly/Cicada,蝴蝶/蝉,,
,가족 및 연애,연애,연애 스토리,Family & Relationships,Romance,Love Story,家庭与恋爱,恋爱,恋爱故事,,재능,공예,종이접기,동물/자연,용(동양 드래곤),Asian Dragon,东方龙,,
,가족 및 연애,결혼,웨딩 브이로그,Family & Relationships,Marriage,Wedding Vlog,家庭与恋爱,婚姻,婚礼视频,,재능,공예,종이접기,동물/자연,물고기/잉어,Fish/Koi,鱼/锦鲤,,
,초자연적 현상 및 공포,공포,심야 괴담,Paranormal & Horror,Horror,Midnight Tales,超自然与恐怖,恐怖,深夜故事,,재능,공예,종이접기,동물/자연,올빼미/독수리,Owl/Eagle,猫头鹰/鹰,,
,초자연적 현상 및 공포,괴담,괴담 리뷰,Paranormal & Horror,Creepy Stories,Story Analysis,超自然与恐怖,灵异故事,灵异解析,,,,,,,,,,
,초자연적 현상 및 공포,미스터리,실종 사건,Paranormal & Horror,Mystery,Missing Cases,超自然与恐怖,神秘,失踪事件,,재능,공예,종이접기,악기/소리,종이 호루라기,Paper Whistle,纸口哨,,
,초자연적 현상 및 공포,초자연 현상,귀신 체험,Paranormal & Horror,Paranormal Phenomena,Ghost Experience,超自然与恐怖,超自然现象,灵异体验,,재능,공예,종이접기,악기/소리,종이 마라카스(충전식),Paper Maracas,纸沙锤,,
,,,,,,,,,,,재능,공예,종이접기,악기/소리,종이 하모니카(아코디언),Paper Harmonica,纸口琴,,
,,,,,,,,,,,재능,공예,종이접기,악기/소리,우드블록 소리 상자,Paper Woodblock Box,纸敲击盒,,
,,,,,,,,,,,재능,공예,종이접기,악기/소리,빗소리 메이커,Rainmaker (Paper),纸雨声器,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,재능,공예,종이접기,게임/퍼즐,매직 스타 큐브,Transforming Star Cube,变形星方块,,
,,,,,,,,,,,재능,공예,종이접기,게임/퍼즐,소노베 큐브,Sonobe Cube,单元立方体,,
,,,,,,,,,,,재능,공예,종이접기,게임/퍼즐,6각/8각 스타,Hex/Octa Star,六/八角星,,
,,,,,,,,,,,재능,공예,종이접기,게임/퍼즐,링 퍼즐(연결고리),Interlocking Rings,互锁纸环,,
,,,,,,,,,,,재능,공예,종이접기,게임/퍼즐,트위스트 박스 퍼즐,Twist Box Puzzle,扭转盒谜题,,
,,,,,,,,,,,재능,공예,종이접기,게임/퍼즐,편지접기 퍼즐,Letter-Fold Puzzle,信纸折叠谜题,,
,,,,,,,,,,,재능,공예,종이접기,게임/퍼즐,플렉사곤 책,Flexagon Book,变形折纸书,,
,,,,,,,,,,,재능,공예,종이접기,게임/퍼즐,종이 미로,Micro Paper Maze,微型纸迷宫,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,재능,공예,종이접기,생활소품,책갈피/코너 북마크,Bookmark/Corner Bookmark,书签/角书签,,
,,,,,,,,,,,재능,공예,종이접기,생활소품,스마트폰 거치대,Phone Stand,手机支架,,
,,,,,,,,,,,재능,공예,종이접기,생활소품,연필꽂이,Pencil Holder,笔筒,,
,,,,,,,,,,,재능,공예,종이접기,생활소품,데스크 트레이,Desk Organizer Tray,桌面收纳盘,,
,,,,,,,,,,,재능,공예,종이접기,생활소품,케이블 홀더,Cable Holder,理线夹,,
,,,,,,,,,,,재능,공예,종이접기,생활소품,티슈 케이스,Paper Tissue Box,纸抽盒,,
,,,,,,,,,,,재능,공예,종이접기,생활소품,사진 액자,Picture Frame,相框,,
,,,,,,,,,,,재능,공예,종이접기,생활소품,엽서/편지지 접기,Postcard/Letter Fold,明信片/信纸折,,
,,,,,,,,,,,재능,공예,종이접기,생활소품,비밀 수납함(서랍형),Secret Drawer Box,抽屉暗格盒,,
,,,,,,,,,,,재능,공예,종이접기,생활소품,지갑/명함지갑,Paper Wallet/Card Holder,纸钱包/卡包,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,재능,공예,종이접기,선물/포장,마스 박스(정사각형),Masu Box (Square),方盒,,
,,,,,,,,,,,재능,공예,종이접기,선물/포장,뚜껑 있는 선물상자,Box with Lid,带盖礼盒,,
,,,,,,,,,,,재능,공예,종이접기,선물/포장,하트 박스,Heart Box,爱心礼盒,,
,,,,,,,,,,,재능,공예,종이접기,선물/포장,스타 박스,Star Box,星形盒,,
,,,,,,,,,,,재능,공예,종이접기,선물/포장,쥬얼리 미니박스,Jewelry Mini Box,首饰小盒,,
,,,,,,,,,,,재능,공예,종이접기,선물/포장,익스플로전 박스,Explosion Gift Box,爆炸盒,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,재능,공예,종이접기,패션/액세서리,종이 반지/팔찌,Paper Ring/Bracelet,纸戒指/手环,,
,,,,,,,,,,,재능,공예,종이접기,패션/액세서리,보타이/넥타이,Bow Tie / Necktie,纸领结/领带,,
,,,,,,,,,,,재능,공예,종이접기,패션/액세서리,왕관/티아라,Crown/Tiara,纸皇冠/头冠,,
,,,,,,,,,,,재능,공예,종이접기,패션/액세서리,가면/마스크,Paper Mask,纸面具,,
,,,,,,,,,,,재능,공예,종이접기,패션/액세서리,모자/페도라,Paper Hat/Fedora,纸帽子/礼帽,,
,,,,,,,,,,,재능,공예,종이접기,패션/액세서리,안경 프레임,Paper Glasses Frame,纸眼镜框,,
,,,,,,,,,,,재능,공예,종이접기,패션/액세서리,꽃 코르사주,Paper Flower Corsage,纸花胸针,,
,,,,,,,,,,,재능,공예,종이접기,패션/액세서리,헤어핀 장식,Paper Hairpin Deco,纸发夹装饰,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,재능,공예,종이접기,계절/축제,크리스마스 트리,Christmas Tree,圣诞树,,
,,,,,,,,,,,재능,공예,종이접기,계절/축제,산타/눈사람,Santa / Snowman,圣诞老人/雪人,,
,,,,,,,,,,,재능,공예,종이접기,계절/축제,설날 세뱃돈 봉투,Red Packet Envelope,红包信封,,
,,,,,,,,,,,재능,공예,종이접기,계절/축제,복주머니 박스,Lucky Pouch Box,福袋礼盒,,
,,,,,,,,,,,재능,공예,종이접기,계절/축제,한지 연등(등롱),Paper Lantern,纸灯笼,,
,,,,,,,,,,,재능,공예,종이접기,계절/축제,할로윈 호박/유령,Pumpkin / Ghost,南瓜/幽灵,,
,,,,,,,,,,,재능,공예,종이접기,계절/축제,발렌타인 하트 카드,Valentine Heart Card,情人节爱心卡,,
,,,,,,,,,,,재능,공예,종이접기,계절/축제,벚꽃 장식,Sakura Decoration,樱花装饰,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,재능,공예,종이접기,STEM/교육,대칭/분수 접기,Symmetry & Fraction Folding,对称/分数折叠,,
,,,,,,,,,,,재능,공예,종이접기,STEM/교육,황금비/정다각형,Golden Ratio & Polygons,黄金比例/正多边形,,
,,,,,,,,,,,재능,공예,종이접기,STEM/교육,입체도형 넷(Nets),"Solid Nets (Cube, Tetra…)",立体展开图,,
,,,,,,,,,,,재능,공예,종이접기,STEM/교육,비행 실험(양력),Plane Lift Experiment,升力实验,,
,,,,,,,,,,,재능,공예,종이접기,STEM/교육,곡선접기 패턴,Curved Crease Patterns,曲线折痕,,
,,,,,,,,,,,재능,공예,종이접기,STEM/교육,모자이크/테셀레이션,Tessellation Basics,折纸镶嵌基础,,
,,,,,,,,,,,재능,공예,종이접기,STEM/교육,프랙탈/드래곤커브,Fractal / Dragon Curve,分形/龙形曲线,,
,,,,,,,,,,,재능,공예,종이접기,STEM/교육,모빌/균형 장난감,Balance Mobile Toy,平衡悬挂玩具,,
,,,,,,,,,,,재능,공예,종이접기,STEM/교육,바람개비 실험,Pinwheel Experiment,风车实验,,
,,,,,,,,,,,재능,공예,종이접기,STEM/교육,팝업 구조 공학,Pop-up/Kirigami Mechanics,立体切纸结构,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,재능,공예,종이접기,기법/테크닉,산접기/골접기,Valley/Mountain Fold,谷折/峰折,,
,,,,,,,,,,,재능,공예,종이접기,기법/테크닉,스쿼시/뒤집기,Squash/Reverse Fold,压折/内外翻折,,
,,,,,,,,,,,재능,공예,종이접기,기법/테크닉,싱크/스윙/크림프,Sink/Swivel/Crimp,沉折/旋折/弯折,,
,,,,,,,,,,,재능,공예,종이접기,기법/테크닉,래빗이어/페탈 접기,Rabbit Ear/Petal Fold,兔耳/花瓣折,,
,,,,,,,,,,,재능,공예,종이접기,기법/테크닉,그리드 프리크리징,Grid Pre-creasing,网格预压线,,
,,,,,,,,,,,재능,공예,종이접기,기법/테크닉,박스플리팅/층접기,Box-Pleating,盒褶技法,,
,,,,,,,,,,,재능,공예,종이접기,기법/테크닉,웨트폴딩(Wet-Folding),Wet-Folding,湿折,,
,,,,,,,,,,,재능,공예,종이접기,기법/테크닉,색변환 모델(Color-Change),Color-Change Models,双色变化折,,
,,,,,,,,,,,재능,공예,종이접기,기법/테크닉,티슈포일 제작,Tissue-Foil Making,纸巾箔制作,,
,,,,,,,,,,,재능,공예,종이접기,기법/테크닉,메틸셀룰로오스 코팅,MC Sizing for Paper,MC 涂层定型,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,재능,공예,종이접기,모듈러/쿠스다마,쿠스다마 꽃,Kusudama Flower,药玉花,,
,,,,,,,,,,,재능,공예,종이접기,모듈러/쿠스다마,쿠스다마 볼,Kusudama Ball,药玉球,,
,,,,,,,,,,,재능,공예,종이접기,모듈러/쿠스다마,30유닛 아이코사 볼,30-Unit Icosa Ball,30单元二十面体球,,
,,,,,,,,,,,재능,공예,종이접기,모듈러/쿠스다마,스파이키 볼,Spiky Ball,刺球,,
,,,,,,,,,,,재능,공예,종이접기,모듈러/쿠스다마,모듈러 리스,Modular Wreath,模块花环,,
,,,,,,,,,,,재능,공예,종이접기,모듈러/쿠스다마,모듈러 왕관/팔찌,Modular Crown/Bracelet,模块皇冠/手环,,
,,,,,,,,,,,재능,공예,종이접기,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
